id,query,source,origin
Q001,"트릭테이킹 방식의 협력 게임 중 3인 이상 플레이 가능한 게임",existing_fixture,development-seed/Q-001
Q002,"4명이 모두 초보여도 쉽게 즐길 수 있는 재미있는 파티 게임",existing_fixture,development-seed/Q-002
Q003,"일꾼 놓기 게임 중 4인 플레이가 가능하고 플레이타임이 30분 이하인 게임",existing_fixture,development-seed/Q-003
Q004,"스페이스크루",existing_fixture,development-seed/Q-004
Q005,"Deep Sea Crew",existing_fixture,development-seed/Q-005
Q006,"하나비게임",existing_fixture,development-seed/Q-006
Q007,"더마인드",existing_fixture,development-seed/Q-007
Q008,"코드네임즈",existing_fixture,development-seed/Q-008
Q009,"세븐원더스",existing_fixture,development-seed/Q-009
Q010,"협력하면서 트릭을 따는 카드 게임",existing_fixture,development-seed/Q-010
Q011,"팀으로 규칙을 맞춰 가는 트릭테이킹 게임",existing_fixture,development-seed/Q-011
Q012,"실수해도 함께 복구할 수 있는 협력 카드 게임",existing_fixture,development-seed/Q-012
Q013,"넷이서 빠르게 끝낼 수 있는 일꾼 놓기 게임 추천해줘",existing_fixture,development-seed/Q-013
Q014,"일꾼을 배치하는 방식인데 4인용이고 30분 안에 끝나는 게임 있어?",existing_fixture,development-seed/Q-014
Q015,"4명이서 짧게 즐기는 워커 플레이스먼트 게임",existing_fixture,development-seed/Q-015
Q016,"가볍게 웃으면서 즐길 수 있는 게임",existing_fixture,dense-bge-m3/Q-010
Q017,"상대의 반응을 살피며 서로 눈치를 보는 재미가 있는 게임",existing_fixture,dense-bge-m3/Q-011
Q018,"보드게임을 처음 하는 초보자와도 부담 없이 시작할 수 있는 게임",existing_fixture,dense-bge-m3/Q-012
Q019,"서로의 말을 들으면서 누가 거짓말하고 있는지 의심하고 추리하는 게임",existing_fixture,semantic-30-v1/Q-001
Q020,"그림이나 짧은 단서를 보고 다른 사람이 무슨 생각을 했는지 맞혀 가는 게임",existing_fixture,semantic-30-v1/Q-002
Q021,"처음 하는 사람도 금방 이해하고 자연스럽게 웃고 떠들 수 있는 게임",existing_fixture,semantic-30-v1/Q-003
Q022,"모두가 동시에 결정을 내려서 다른 사람이 무엇을 고를지 예상하는 재미가 있는 게임",existing_fixture,semantic-30-v1/Q-004
Q023,"처음에는 할 수 있는 일이 적지만 플레이할수록 내 선택지와 능력이 점점 강해지는 게임",existing_fixture,semantic-30-v1/Q-005
Q024,"한정된 행동 기회를 서로 먼저 차지하려고 경쟁해서 매 차례 계획을 바꿔야 하는 게임",existing_fixture,semantic-30-v1/Q-006
Q025,"내가 하나를 선택하면 남은 선택지가 다른 사람에게 넘어가서 무엇을 남길지도 고민하게 되는 게임",existing_fixture,semantic-30-v1/Q-007
Q026,"각자 잘하는 일이 다른 캐릭터를 맡아 힘을 합쳐 하나의 목표를 해결하는 게임",existing_fixture,semantic-30-v1/Q-008
Q027,"서로 가진 정보를 나누고 의견을 맞춰야만 문제를 해결할 수 있는 협력 게임",existing_fixture,semantic-30-v1/Q-009
Q028,"더 큰 보상을 노리고 계속 진행할지 지금 얻은 것을 지킬지 매번 고민하게 되는 게임",existing_fixture,semantic-30-v1/Q-010
Q029,"필요한 것을 서로 교환하고 설득하면서 거래 조건을 만들어 가는 게임",existing_fixture,semantic-30-v1/Q-011
Q030,"중요한 지역을 서로 차지하고 빼앗으면서 판 위의 주도권이 계속 바뀌는 게임",existing_fixture,semantic-30-v1/Q-012
Q031,"상대가 다음에 무엇을 할지 읽어야 하고 작은 선택 하나가 승부에 크게 영향을 주는 게임",existing_fixture,semantic-30-v1/Q-013
Q032,"흩어진 단서를 하나씩 연결해서 정답이나 사건의 전모를 밝혀내는 게임",existing_fixture,semantic-30-v1/Q-014
Q033,"게임을 진행하면서 이야기가 이어지고 내가 내린 선택에 따라 이후 상황이 달라지는 게임",existing_fixture,semantic-30-v1/Q-015
Q034,"조각이나 타일을 어디에 놓느냐에 따라 공간을 효율적으로 채우는 방법을 고민하는 게임",existing_fixture,semantic-30-v1/Q-016
Q035,"서로 관련 있는 것들을 모아 조합을 완성할수록 더 많은 점수를 얻는 게임",existing_fixture,semantic-30-v1/Q-017
Q036,"내가 가진 것이 좋은지 나쁜지 숨기면서 상대가 믿거나 포기하도록 유도하는 게임",existing_fixture,semantic-30-v1/Q-018
Q037,"초반에 뒤처지더라도 한두 번의 좋은 판단으로 다시 따라잡을 기회가 있는 게임",existing_fixture,semantic-30-v1/Q-019
Q038,"다른 사람을 직접 공격하기보다는 각자 계획을 발전시키면서 은근히 경쟁하는 게임",existing_fixture,semantic-30-v1/Q-020
Q039,"서로 직접 싸우지는 않는데도 다른 사람의 선택 때문에 계속 긴장하게 되는 게임",existing_fixture,semantic-30-v1/Q-021
Q040,"혼자 조용히 생각하는 것보다 플레이하는 동안 계속 이야기하고 반응하는 재미가 큰 게임",existing_fixture,semantic-30-v1/Q-022
Q041,"규칙은 금방 배울 수 있지만 몇 번 해볼수록 더 깊은 선택이 보이는 게임",existing_fixture,semantic-30-v1/Q-023
Q042,"한 사람이 실수해도 바로 망하지 않고 서로 도와서 다시 상황을 풀어갈 수 있는 게임",existing_fixture,semantic-30-v1/Q-024
Q043,"내가 알고 있는 정보를 전부 말할 수 없어서 서로의 의도를 눈치로 맞춰야 하는 협력 게임",existing_fixture,semantic-30-v1/Q-025
Q044,"네 명이서 30분 이내에 끝내고 처음 하는 사람도 부담 없이 즐길 수 있는 파티 게임",existing_fixture,semantic-30-v1/Q-026
Q045,"세 명 이상이 45분 안에 함께 목표를 해결할 수 있는 협력 게임",existing_fixture,semantic-30-v1/Q-027
Q046,"두세 명이 30분 이내에 즐기면서 서로 정보를 주고받는 것이 중요한 게임",existing_fixture,semantic-30-v1/Q-028
Q047,"다섯 명 이상이 30분 이내에 즐길 수 있고 사람들끼리 많이 이야기하며 웃을 수 있는 게임",existing_fixture,semantic-30-v1/Q-029
Q048,"두 명이 한 시간 안에 즐길 수 있고 규칙은 어렵지 않지만 생각할 거리는 충분한 전략 게임",existing_fixture,semantic-30-v1/Q-030
Q049,"일꾼 놓고 밥 먹이는 게임",existing_regression,live-regression/STONE-01
Q050,"일꾼 배치하고 식량으로 부족을 부양하는 게임",existing_regression,live-regression/STONE-02
Q051,"place workers and feed your population",existing_regression,live-regression/STONE-03
Q052,"worker placement and food management game",existing_regression,live-regression/STONE-04
Q053,"게임",existing_regression,live-regression/COMMON-01
Q054,"game",existing_regression,live-regression/COMMON-02
Q055,"플레이어",existing_regression,live-regression/COMMON-03
Q056,"카드 게임",existing_regression,live-regression/COMMON-04
Q057,"스페이스크루 규칙 다시 찾기",synthetic,synthetic/v1
Q058,"deep sea crew 한국어로 뭐라고 검색해야 해",synthetic,synthetic/v1
Q059,"하나비게임 이름이 맞나?",synthetic,synthetic/v1
